Date,Open,High,Low,Close,Volume
2010-03-11,0.584489,0.600864,0.584489,0.600864,3702000
2010-03-12,0.601319,0.605261,0.586006,0.586006,4548000
2010-03-15,0.574179,0.580395,0.558714,0.567508,534000
2010-03-16,0.574634,0.614207,0.573725,0.613600,1260000
2010-03-17,0.636798,0.643166,0.624214,0.635736,2610000
2010-03-18,0.635736,0.637555,0.611478,0.620271,1584000
2010-03-19,0.612538,0.612842,0.581912,0.592070,1596000
2010-03-22,0.580395,0.637100,0.577060,0.634826,3804000
2010-03-23,0.643772,0.678190,0.643469,0.675763,6114000
2010-03-24,0.669244,0.669244,0.634978,0.638314,2034000
2010-03-25,0.665909,0.675460,0.634523,0.635130,2034000
2010-03-26,0.652111,0.655447,0.612690,0.625123,2322000
2010-03-29,0.645288,0.649231,0.637404,0.641953,1380000
2010-03-30,0.651960,0.661057,0.635130,0.654234,1920000
2010-03-31,0.659237,0.664089,0.640588,0.644075,1080000
2010-04-01,0.662117,0.688803,0.635433,0.646197,1644000
2010-04-05,0.670760,0.703509,0.627852,0.700932,1500000
2010-04-06,0.687589,0.700174,0.679706,0.690319,1998000
2010-04-07,0.693958,0.711546,0.674854,0.697142,3414000
2010-04-08,0.684558,0.684558,0.650141,0.672428,4470000
2010-04-09,0.680161,0.690622,0.664696,0.690319,1254000
2010-04-12,0.700780,0.725494,0.692442,0.707603,2400000
2010-04-13,0.711546,0.724737,0.702449,0.721249,2904000
2010-04-14,0.765976,0.816617,0.765976,0.814039,6504000
2010-04-15,0.828595,0.839815,0.811765,0.821014,12666000
2010-04-16,0.811159,0.811159,0.753695,0.790691,4452000
2010-04-19,0.764157,0.787355,0.720339,0.764005,5712000
2010-04-20,0.786293,0.806611,0.780835,0.801000,2922000
2010-04-21,0.806611,0.824350,0.740505,0.775983,5772000
2010-04-22,0.760821,0.822378,0.725342,0.819801,6594000
2010-04-23,0.833295,0.833295,0.790236,0.823440,3600000
2010-04-26,0.830869,0.853309,0.824956,0.830718,3846000
2010-04-27,0.795997,0.824653,0.742324,0.744750,5112000
2010-04-28,0.759912,0.799788,0.721856,0.759609,6864000
2010-04-29,0.759912,0.788416,0.750966,0.785687,5838000
2010-04-30,0.765674,0.765674,0.678038,0.679706,10104000
2010-05-03,0.689258,0.740505,0.689258,0.729740,4926000
2010-05-04,0.714578,0.714578,0.601622,0.633159,19164000
2010-05-05,0.623152,0.642104,0.583579,0.612842,7920000
2010-05-06,0.606474,0.632856,0.379046,0.560685,17448000
2010-05-07,0.545826,0.562353,0.467894,0.526571,12372000
2010-05-10,0.618603,0.621030,0.588431,0.618603,7206000
2010-05-11,0.585551,0.639072,0.578121,0.606777,27720000
2010-05-12,0.616784,0.659237,0.616784,0.656053,42330000
2010-05-13,0.638465,0.664847,0.596315,0.604655,28992000
2010-05-14,0.590402,0.590402,0.516413,0.549465,15846000
2010-05-17,0.537791,0.577514,0.518535,0.572208,19140000
2010-05-18,0.586308,0.596163,0.517777,0.525510,16128000
2010-05-19,0.522932,0.549617,0.497309,0.533848,21306000
2010-05-20,0.492760,0.524145,0.458797,0.490334,10638000
2010-05-21,0.470018,0.544917,0.458342,0.522326,11220000
2010-05-24,0.512015,0.532029,0.491547,0.491547,10944000
2010-05-25,0.449700,0.502767,0.432113,0.502615,10818000
2010-05-26,0.527935,0.549162,0.497157,0.500038,14250000
2010-05-27,0.538852,0.576909,0.531271,0.576150,10578000
2010-05-28,0.582822,0.582822,0.525055,0.548404,9288000
2010-06-01,0.544917,0.565082,0.511105,0.511105,4530000
2010-06-02,0.529300,0.566295,0.513229,0.565688,11094000
2010-06-03,0.575847,0.594041,0.559472,0.587370,9102000
2010-06-04,0.572208,0.573573,0.502615,0.510955,13650000
2010-06-07,0.518383,0.525813,0.450307,0.453946,18312000
2010-06-08,0.456523,0.458646,0.415586,0.448942,12504000
2010-06-09,0.461223,0.489879,0.434387,0.439997,8634000
2010-06-10,0.463346,0.490031,0.456220,0.488363,9504000
2010-06-11,0.471230,0.511409,0.466985,0.509286,6510000
2010-06-14,0.533848,0.548101,0.517777,0.518990,6924000
2010-06-15,0.530664,0.609203,0.530664,0.605413,14508000
2010-06-16,0.592525,0.627398,0.576757,0.613752,14226000
2010-06-17,0.625881,0.627246,0.578728,0.609809,8724000
